,Ticker,Strategy,Original Amount,Final Portfolio Value,Percentage Profit/Loss
0,ACC,Strategy1,22112.5,22547.00195,1.964960783
1,AUBANK,Strategy1,7874.000244,10815.75012,37.36029701
2,ABBOTINDIA,Strategy1,228512.5,312795.9961,36.88353858
3,ABCAPITAL,Strategy1,1663.999939,1890.499878,13.61177568
4,ALKEM,Strategy1,52026.00098,71807.5,38.0223324
5,ASHOKLEY,Strategy1,1815.500031,1619.500046,-10.79592297
6,ASTRAL,Strategy1,19075.50049,19346.18774,1.41903095
7,AUROPHARMA,Strategy1,10840,11047.50031,1.914209457
8,BALKRISIND,Strategy1,25685.50049,35552.50122,38.41467188
9,BANDHANBNK,Strategy1,2413.999939,5710.999756,136.5782892
10,BATAINDIA,Strategy1,16514.00024,19586.00098,18.60240213
11,BHARATFORG,Strategy1,12383.49976,13820.99976,11.60818854
12,BIOCON,Strategy1,2496.499939,2617.499847,4.846781951
13,COFORGE,Strategy1,62743.99902,69542.49756,10.83529683
14,CONCOR,Strategy1,8596.500244,10664.00055,24.05048853
15,CUMMINSIND,Strategy1,19639.49951,19393.49945,-1.252578055
16,DALBHARAT,Strategy1,22751.99951,27465.50049,20.71686479
17,ESCORTS,Strategy1,29831.00098,38440.00122,28.85924026
18,FEDERALBNK,Strategy1,1561.499939,2021.499939,29.45885482
19,GODREJPROP,Strategy1,20133.49976,19891.50024,-1.201974394
20,GUJGASLTD,Strategy1,4615,5379.499817,16.56554316
21,HDFCAMC,Strategy1,32050,25147.50122,-21.53665766
22,HINDPETRO,Strategy1,3988.999939,6089.999847,52.66984058
23,IDFCFIRSTB,Strategy1,889.0000153,756.5000534,-14.9043824
24,INDHOTEL,Strategy1,4383.500061,5917.444305,34.99359469
25,IGL,Strategy1,4183.500061,4200,0.394405133
26,INDUSTOWER,Strategy1,1990.500031,2386.499939,19.89449397
27,JUBLFOOD,Strategy1,5650.499878,5654.099884,0.063711285
28,LTTS,Strategy1,52549.50195,61811.50513,17.62529202
29,LICHSGFIN,Strategy1,5360.999756,4424.499512,-17.46876118
30,LUPIN,Strategy1,13229.49951,13605.49927,2.842131371
31,MRF,Strategy1,1295792.5,1466067.969,13.14064318
32,M&MFIN,Strategy1,2767.000122,1760.842819,-36.36274877
33,MFSL,Strategy1,9542.999878,13424.50043,40.67379859
34,MPHASIS,Strategy1,27397.5,29690.49988,8.369376322
35,NMDC,Strategy1,2096.499939,2388.584099,13.9319899
36,OBEROIRLTY,Strategy1,14433.49976,17631.49994,22.15678967
37,OFSS,Strategy1,42127.99805,32870.99854,-21.97350916
38,PAGEIND,Strategy1,385127.5,456804.4922,18.61123711
39,PERSISTENT,Strategy1,73893.99902,79831.49841,8.03515775
40,PETRONET,Strategy1,2226.499939,3028.499756,36.02065299
41,POLYCAB,Strategy1,54848.50098,59835.00061,9.091405499
42,PFC,Strategy1,3826.000061,3775.200043,-1.327757906
43,RECLTD,Strategy1,4128.500061,4272.124939,3.478863408
44,SAIL,Strategy1,1236.500015,1317.499962,6.550743679
45,TATACOMM,Strategy1,17703.00049,24172.21436,36.54303615
46,UBL,Strategy1,17851.50024,23720,32.87398636
47,IDEA,Strategy1,160,121.9999981,-23.75000119
48,VOLTAS,Strategy1,9783.499756,11578.49854,18.34720523
49,ZEEL,Strategy1,2747.000122,3780.999908,37.64105353
