Ticker,Strategy,Original Amount,Final Portfolio Value,Percentage Profit/Loss
,Strategy1,22112.5,22547.00195,1.964960783
,Strategy2,22112.5,30081.99707,36.04068771
,Strategy3,22112.5,27181.99951,22.92594465
,Strategy4,22112.5,18980.00122,-14.16619007
,Strategy1,7874.000244,10815.75012,37.36029701
,Strategy2,7874.000244,9380.75058,19.13576694
,Strategy3,7874.000244,10927.25021,38.77635096
,Strategy4,7874.000244,12976.00006,64.79552526
,Strategy1,228512.5,312795.9961,36.88353858
,Strategy2,228512.5,283427.5244,24.03151881
,Strategy3,228512.5,322537.0166,41.14633405
,Strategy4,228512.5,328818.4863,43.89518575
,Strategy1,1663.999939,1890.499878,13.61177568
,Strategy2,1663.999939,1512.499809,-9.104575436
,Strategy3,1663.999939,2051.000023,23.25721744
,Strategy4,1663.999939,1742.500114,4.717558795
,Strategy1,52026.00098,71807.5,38.0223324
,Strategy2,52026.00098,50543.00049,-2.850498713
,Strategy3,52026.00098,86425.00366,66.11886757
,Strategy4,52026.00098,86118.99902,65.53069121
,Strategy1,1815.500031,1619.500046,-10.79592297
,Strategy2,1815.500031,2457.499962,35.36215481
,Strategy3,1815.500031,1701.500092,-6.279258444
,Strategy4,1815.500031,2198.999748,21.12364149
,Strategy1,19075.50049,19346.18774,1.41903095
,Strategy2,19075.50049,26355.36926,38.16344834
,Strategy3,19075.50049,28573.93097,49.79387297
,Strategy4,19075.50049,28559.6814,49.71917206
,Strategy1,10840,11047.50031,1.914209457
,Strategy2,10840,7927.5,-26.86808118
,Strategy3,10840,16371.49994,51.02859722
,Strategy4,10840,16893.50037,55.84409932
,Strategy1,25685.50049,35552.50122,38.41467188
,Strategy2,25685.50049,31184.00391,21.40703242
,Strategy3,25685.50049,35422.49451,37.90852362
,Strategy4,25685.50049,37261.4978,45.06821784
,Strategy1,2413.999939,5710.999756,136.5782892
,Strategy2,2413.999939,3282.499237,35.97760232
,Strategy3,2413.999939,3015.999908,24.93786184
,Strategy4,2413.999939,3069.499817,27.15409671
,Strategy1,16514.00024,19586.00098,18.60240213
,Strategy2,16514.00024,14370.99976,-12.97687088
,Strategy3,16514.00024,25734.49707,55.83442346
,Strategy4,16514.00024,24613.00049,49.0432368
,Strategy1,12383.49976,13820.99976,11.60818854
,Strategy2,12383.49976,14958.49976,20.79379861
,Strategy3,12383.49976,14694.49982,18.66193004
,Strategy4,12383.49976,14450.49988,16.6915667
,Strategy1,2496.499939,2617.499847,4.846781951
,Strategy2,2496.499939,2361.999817,-5.387547581
,Strategy3,2496.499939,2698.499756,8.091320722
,Strategy4,2496.499939,2981.999969,19.44722781
,Strategy1,62743.99902,69542.49756,10.83529683
,Strategy2,62743.99902,80377.50488,28.10389222
,Strategy3,62743.99902,88240.50537,40.63576875
,Strategy4,62743.99902,92344.50073,47.17662592
,Strategy1,8596.500244,10664.00055,24.05048853
,Strategy2,8596.500244,11765.89966,36.86848513
,Strategy3,8596.500244,10224.50104,18.93794855
,Strategy4,8596.500244,9849.000549,14.56988623
,Strategy1,19639.49951,19393.49945,-1.252578055
,Strategy2,19639.49951,25084.99817,27.72727815
,Strategy3,19639.49951,25846.49841,31.60466945
,Strategy4,19639.49951,27251.49963,38.75862579
,Strategy1,22751.99951,27465.50049,20.71686479
,Strategy2,22751.99951,32989.49951,44.99604527
,Strategy3,22751.99951,38985.99854,71.3519663
,Strategy4,22751.99951,39896.99951,75.35601428
,Strategy1,29831.00098,38440.00122,28.85924026
,Strategy2,29831.00098,35494.00208,18.98361072
,Strategy3,29831.00098,48546.00342,62.73675649
,Strategy4,29831.00098,49174.50073,64.84361611
,Strategy1,1561.499939,2021.499939,29.45885482
,Strategy2,1561.499939,2020.999718,29.42682015
,Strategy3,1561.499939,1826.999969,17.00288446
,Strategy4,1561.499939,1934.999847,23.91930343
,Strategy1,20133.49976,19891.50024,-1.201974394
,Strategy2,20133.49976,23884.50012,18.63064252
,Strategy3,20133.49976,32163.49792,59.75115263
,Strategy4,20133.49976,36539.99939,81.48856301
,Strategy1,4615,5379.499817,16.56554316
,Strategy2,4615,7311.000519,58.41821276
,Strategy3,4615,8489.499664,83.95448893
,Strategy4,4615,7245.499878,56.99891393
,Strategy1,32050,25147.50122,-21.53665766
,Strategy2,32050,33010.49805,2.996873781
,Strategy3,32050,38590.00366,20.40562765
,Strategy4,32050,51029.50439,59.21842245
,Strategy1,3988.999939,6089.999847,52.66984058
,Strategy2,3988.999939,3906.000214,-2.080715132
,Strategy3,3988.999939,5246.500092,31.52419583
,Strategy4,3988.999939,6163.999634,54.52493678
,Strategy1,889.0000153,756.5000534,-14.9043824
,Strategy2,889.0000153,887.0000839,-0.224964151
,Strategy3,889.0000153,1426.499977,60.46118702
,Strategy4,889.0000153,1405.000134,58.04275696
,Strategy1,4383.500061,5917.444305,34.99359469
,Strategy2,4383.500061,6723.445435,53.38075376
,Strategy3,4383.500061,5120.83847,16.82076877
,Strategy4,4383.500061,5160.30777,17.72117481
,Strategy1,4183.500061,4200,0.394405133
,Strategy2,4183.500061,7561.499329,80.74576834
,Strategy3,4183.500061,4703.001404,12.41786387
,Strategy4,4183.500061,4312.999878,3.095489781
,Strategy1,1990.500031,2386.499939,19.89449397
,Strategy2,1990.500031,3015.500336,51.49461389
,Strategy3,1990.500031,2426.499634,21.90402394
,Strategy4,1990.500031,2433.000031,22.23059499
,Strategy1,5650.499878,5654.099884,0.063711285
,Strategy2,5650.499878,7475.401001,32.29627754
,Strategy3,5650.499878,6550.399475,15.92601746
,Strategy4,5650.499878,6808.49884,20.49374369
,Strategy1,52549.50195,61811.50513,17.62529202
,Strategy2,52549.50195,49141.00098,-6.486266948
,Strategy3,52549.50195,83349.00269,58.61045222
,Strategy4,52549.50195,85956.50513,63.5724449
,Strategy1,5360.999756,4424.499512,-17.46876118
,Strategy2,5360.999756,6381.499939,19.03563196
,Strategy3,5360.999756,5362.499084,0.027967332
,Strategy4,5360.999756,5862.49939,9.354591618
,Strategy1,13229.49951,13605.49927,2.842131371
,Strategy2,13229.49951,15094.50012,14.09728772
,Strategy3,13229.49951,14562.99805,10.07973532
,Strategy4,13229.49951,16898.99841,27.73724658
,Strategy1,1295792.5,1466067.969,13.14064318
,Strategy2,1295792.5,1313278.984,1.349481833
,Strategy3,1295792.5,1921933.984,48.32112274
,Strategy4,1295792.5,1933270.469,49.19599155
,Strategy1,2767.000122,1760.842819,-36.36274877
,Strategy2,2767.000122,2977.612686,7.611584922
,Strategy3,2767.000122,3237.100677,16.98953866
,Strategy4,2767.000122,2762.4823,-0.163275102
,Strategy1,9542.999878,13424.50043,40.67379859
,Strategy2,9542.999878,15301.9986,60.34788632
,Strategy3,9542.999878,11087.00165,16.17941727
,Strategy4,9542.999878,11706.49994,22.67106873
,Strategy1,27397.5,29690.49988,8.369376322
,Strategy2,27397.5,28690.50232,4.719417171
,Strategy3,27397.5,46586.0022,70.03742019
,Strategy4,27397.5,44922.49756,63.96568139
,Strategy1,2096.499939,2388.584099,13.9319899
,Strategy2,2096.499939,1775.793495,-15.29723125
,Strategy3,2096.499939,3285.755196,56.72574726
,Strategy4,2096.499939,3691.725731,76.08995175
,Strategy1,14433.49976,17631.49994,22.15678967
,Strategy2,14433.49976,22108.99933,53.1783677
,Strategy3,14433.49976,16225.49896,12.41555573
,Strategy4,14433.49976,16128.99933,11.74697476
,Strategy1,42127.99805,32870.99854,-21.97350916
,Strategy2,42127.99805,42138.99658,0.026107424
,Strategy3,42127.99805,35874.99878,-14.84285881
,Strategy4,42127.99805,52009.49219,23.45588349
,Strategy1,385127.5,456804.4922,18.61123711
,Strategy2,385127.5,669132.5,73.74311105
,Strategy3,385127.5,489073.0469,26.98990513
,Strategy4,385127.5,409196.5234,6.249624718
,Strategy1,73893.99902,79831.49841,8.03515775
,Strategy2,73893.99902,97182.49146,31.51608079
,Strategy3,73893.99902,128875.4962,74.40590294
,Strategy4,73893.99902,142794.5026,93.24235317
,Strategy1,2226.499939,3028.499756,36.02065299
,Strategy2,2226.499939,3427.499847,53.94116063
,Strategy3,2226.499939,2428.499603,9.072520541
,Strategy4,2226.499939,2360.999908,6.040870118
,Strategy1,54848.50098,59835.00061,9.091405499
,Strategy2,54848.50098,65984.50073,20.303198
,Strategy3,54848.50098,81721.00098,48.99404637
,Strategy4,54848.50098,93406.00159,70.29818486
,Strategy1,3826.000061,3775.200043,-1.327757906
,Strategy2,3826.000061,4610.900192,20.51490117
,Strategy3,3826.000061,6047.100449,58.05280586
,Strategy4,3826.000061,6173.899994,61.36696015
,Strategy1,4128.500061,4272.124939,3.478863408
,Strategy2,4128.500061,5478.500137,32.69952904
,Strategy3,4128.500061,6358.625412,54.01781078
,Strategy4,4128.500061,6473.625183,56.80332051
,Strategy1,1236.500015,1317.499962,6.550743679
,Strategy2,1236.500015,1349.500008,9.138697208
,Strategy3,1236.500015,2034.500198,64.53701361
,Strategy4,1236.500015,1661.000061,34.33077562
,Strategy1,17703.00049,24172.21436,36.54303615
,Strategy2,17703.00049,24027.90192,35.72784982
,Strategy3,17703.00049,26883.45703,51.85819516
,Strategy4,17703.00049,30666.26831,73.22638798
,Strategy1,17851.50024,23720,32.87398636
,Strategy2,17851.50024,26803.50098,50.14704988
,Strategy3,17851.50024,14086.00098,-21.09346114
,Strategy4,17851.50024,14382.50183,-19.43253153
,Strategy1,160,121.9999981,-23.75000119
,Strategy2,160,103.4999943,-35.31250358
,Strategy3,160,184.4999599,15.31247497
,Strategy4,160,202.5000095,26.56250596
,Strategy1,9783.499756,11578.49854,18.34720523
,Strategy2,9783.499756,10977.49939,12.20421795
,Strategy3,9783.499756,12950.00061,32.36572733
,Strategy4,9783.499756,12088.00018,23.55496995
,Strategy1,2747.000122,3780.999908,37.64105353
,Strategy2,2747.000122,3117.499695,13.48742469
,Strategy3,2747.000122,4594.499664,67.25516782
,Strategy4,2747.000122,4695.499878,70.9319137
